date,opponent,is_home,is_away,is_neutral,won,team_score,opp_score,point_diff,team_fg,team_fga,team_fg%,team_3p,team_3pa,team_3p%,team_2p,team_2pa,team_2p%,team_efg%,team_ft,team_fta,team_ft%,team_orb,team_drb,team_trb,team_ast,team_stl,team_blk,team_tov,team_pf,opp_fg,opp_fga,opp_fg%,opp_3p,opp_3pa,opp_3p%,opp_2p,opp_2pa,opp_2p%,opp_efg%,opp_ft,opp_fta,opp_ft%,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,school_slug,season
2024-11-04,Mississippi Valley State,1,0,0,1,83,44,39,28,59,0.475,5,21,0.238,23,38,0.605,0.517,22,29,0.759,11,25,36,16,16,6,12,12,19,51,0.373,1,12,0.083,18,39,0.462,0.382,5,11,0.455,5,24,29,8,9,1,23,19,iowa-state,2025
2024-11-11,Kansas City,1,0,0,1,82,56,26,30,62,0.484,10,25,0.4,20,37,0.541,0.565,12,19,0.632,11,23,34,21,5,2,7,13,18,54,0.333,8,31,0.258,10,23,0.435,0.407,12,13,0.923,8,14,22,9,6,5,12,17,iowa-state,2025
2024-11-18,IU Indy,1,0,0,1,87,52,35,31,62,0.5,7,25,0.28,24,37,0.649,0.556,18,24,0.75,11,29,40,19,8,4,9,10,18,52,0.346,9,28,0.321,9,24,0.375,0.433,7,9,0.778,5,22,27,9,4,0,19,21,iowa-state,2025
2024-11-25,Auburn,1,0,0,0,81,83,-2,25,53,0.472,7,18,0.389,18,35,0.514,0.538,24,29,0.828,5,21,26,12,9,0,8,18,28,59,0.475,9,27,0.333,19,32,0.594,0.551,18,22,0.818,7,23,30,14,7,4,12,23,iowa-state,2025
2024-11-26,Dayton,1,0,0,1,89,84,5,30,58,0.517,4,17,0.235,26,41,0.634,0.552,25,29,0.862,5,15,20,11,7,2,6,21,29,50,0.58,7,18,0.389,22,32,0.688,0.65,19,26,0.731,6,19,25,17,3,3,11,23,iowa-state,2025
2024-11-27,Colorado,1,0,0,1,99,71,28,35,58,0.603,11,25,0.44,24,33,0.727,0.698,18,23,0.783,6,22,28,18,13,0,9,19,23,55,0.418,8,19,0.421,15,36,0.417,0.491,17,18,0.944,6,17,23,18,4,1,17,17,iowa-state,2025
2024-12-04,Marquette,1,0,0,1,81,70,11,30,59,0.508,6,15,0.4,24,44,0.545,0.559,15,21,0.714,8,26,34,16,6,6,12,14,27,70,0.386,11,31,0.355,16,39,0.41,0.464,5,10,0.5,11,19,30,15,4,5,10,19,iowa-state,2025
2024-12-08,Jackson State,1,0,0,1,100,58,42,34,67,0.507,11,28,0.393,23,39,0.59,0.59,21,29,0.724,14,26,40,26,16,2,7,14,20,54,0.37,7,22,0.318,13,32,0.406,0.435,11,13,0.846,6,20,26,10,5,0,23,20,iowa-state,2025
2024-12-12,Iowa,1,0,0,1,89,80,9,31,70,0.443,11,28,0.393,20,42,0.476,0.521,16,22,0.727,17,28,45,16,7,3,9,15,28,63,0.444,11,28,0.393,17,35,0.486,0.532,13,15,0.867,5,24,29,18,5,4,9,17,iowa-state,2025
2024-12-15,Omaha,1,0,0,1,83,51,32,32,60,0.533,6,20,0.3,26,40,0.65,0.583,13,18,0.722,10,26,36,19,11,4,12,10,20,56,0.357,6,23,0.261,14,33,0.424,0.411,5,9,0.556,7,15,22,10,10,2,18,13,iowa-state,2025
2024-12-22,Morgan State,1,0,0,1,99,72,27,36,59,0.61,7,20,0.35,29,39,0.744,0.669,20,26,0.769,8,26,34,26,11,11,11,13,29,63,0.46,4,9,0.444,25,54,0.463,0.492,10,15,0.667,9,16,25,12,7,1,13,15,iowa-state,2025
2024-12-30,Colorado,1,0,0,1,79,69,10,29,68,0.426,4,18,0.222,25,50,0.5,0.456,17,22,0.773,14,18,32,9,13,3,9,14,28,57,0.491,7,22,0.318,21,35,0.6,0.553,6,8,0.75,7,21,28,18,7,5,19,18,iowa-state,2025
2025-01-04,Baylor,1,0,0,1,74,55,19,24,49,0.49,10,21,0.476,14,28,0.5,0.592,16,24,0.667,7,34,41,19,6,5,12,15,19,64,0.297,7,29,0.241,12,35,0.343,0.352,10,14,0.714,12,21,33,11,9,2,7,16,iowa-state,2025
2025-01-07,Utah,1,0,0,1,82,59,23,27,61,0.443,6,22,0.273,21,39,0.538,0.492,22,29,0.759,11,24,35,11,9,4,8,15,22,61,0.361,7,29,0.241,15,32,0.469,0.418,8,13,0.615,12,21,33,18,6,6,17,20,iowa-state,2025
2025-01-11,Texas Tech,1,0,0,1,85,84,1,31,59,0.525,6,17,0.353,25,42,0.595,0.576,17,24,0.708,8,21,29,12,11,3,14,19,28,66,0.424,9,20,0.45,19,46,0.413,0.492,19,24,0.792,14,20,34,16,5,1,14,19,iowa-state,2025
2025-01-15,Kansas,1,0,0,1,74,57,17,24,59,0.407,8,13,0.615,16,46,0.348,0.475,18,25,0.72,9,28,37,17,11,4,13,14,24,59,0.407,5,16,0.313,19,43,0.442,0.449,4,11,0.364,8,23,31,16,6,10,17,17,iowa-state,2025
2025-01-18,West Virginia,1,0,0,0,57,64,-7,25,57,0.439,1,17,0.059,24,40,0.6,0.447,6,7,0.857,8,29,37,4,4,1,14,16,22,56,0.393,9,27,0.333,13,29,0.448,0.473,11,14,0.786,5,22,27,9,14,3,9,13,iowa-state,2025
2025-01-21,UCF,1,0,0,1,108,83,25,40,71,0.563,9,22,0.409,31,49,0.633,0.627,19,25,0.76,13,28,41,19,16,4,10,20,27,63,0.429,11,24,0.458,16,39,0.41,0.516,18,23,0.783,11,18,29,9,5,3,19,19,iowa-state,2025
2025-01-25,Arizona State,1,0,0,1,76,61,15,22,48,0.458,8,19,0.421,14,29,0.483,0.542,24,30,0.8,3,25,28,9,11,3,12,20,21,47,0.447,8,24,0.333,13,23,0.565,0.532,11,18,0.611,3,18,21,12,6,5,17,23,iowa-state,2025
2025-01-27,Arizona,1,0,0,0,75,86,-11,28,65,0.431,7,24,0.292,21,41,0.512,0.485,12,18,0.667,11,24,35,12,7,4,17,16,29,66,0.439,10,29,0.345,19,37,0.514,0.515,18,22,0.818,10,26,36,19,13,4,15,16,iowa-state,2025
2025-02-01,Kansas State,1,0,0,0,61,80,-19,19,52,0.365,8,18,0.444,11,34,0.324,0.442,15,19,0.789,10,18,28,10,8,4,18,16,26,58,0.448,10,20,0.5,16,38,0.421,0.534,18,21,0.857,12,22,34,12,11,5,15,22,iowa-state,2025
2025-02-03,Kansas,1,0,0,0,52,69,-17,19,62,0.306,3,21,0.143,16,41,0.39,0.331,11,20,0.55,14,21,35,6,8,8,5,12,26,55,0.473,9,18,0.5,17,37,0.459,0.555,8,11,0.727,9,23,32,17,3,9,12,14,iowa-state,2025
