Rk,Gtm,Date,,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,school_slug,season,scraped_at
1,1,2024-11-04,@,VCU,REG (Non-Conf),L,65,84,,26,56,.464,4,13,.308,22,43,.512,.500,9,13,.692,9,17,26,8,10,1,13,23,29,55,.527,15,29,.517,14,26,.538,.664,11,17,.647,11,21,32,20,7,10,16,17,bellarmine,2025,2025-12-27 22:48:12
2,2,2024-11-09,,VMI,REG (Non-Conf),L,71,76,,24,51,.471,10,30,.333,14,21,.667,.569,13,15,.867,4,24,28,21,4,2,15,16,28,62,.452,8,20,.400,20,42,.476,.516,12,14,.857,9,22,31,12,8,2,7,16,bellarmine,2025,2025-12-27 22:48:12
3,3,2024-11-13,,Southern Indiana,REG (Non-Conf),L,69,71,,25,54,.463,8,25,.320,17,29,.586,.537,11,14,.786,4,21,25,14,9,2,13,17,24,53,.453,6,14,.429,18,39,.462,.509,17,22,.773,5,21,26,12,8,2,12,15,bellarmine,2025,2025-12-27 22:48:12
4,4,2024-11-16,@,Marshall,REG (Non-Conf),L,62,83,,18,49,.367,5,18,.278,13,31,.419,.418,21,25,.840,3,20,23,8,8,1,14,17,29,60,.483,9,25,.360,20,35,.571,.558,16,17,.941,7,25,32,17,8,2,9,22,bellarmine,2025,2025-12-27 22:48:12
5,5,2024-11-19,@,Louisville,REG (Non-Conf),L,68,100,,24,53,.453,9,25,.360,15,28,.536,.538,11,17,.647,4,18,22,15,5,2,14,20,35,64,.547,12,35,.343,23,29,.793,.641,18,24,.750,10,27,37,15,7,2,8,19,bellarmine,2025,2025-12-27 22:48:12
6,6,2024-11-23,,Bowling Green,REG (Non-Conf),W,80,68,,26,52,.500,8,20,.400,18,32,.563,.577,20,22,.909,5,27,32,12,6,4,9,14,23,55,.418,10,26,.385,13,29,.448,.509,12,16,.750,5,19,24,9,6,1,10,18,bellarmine,2025,2025-12-27 22:48:12
7,7,2024-11-26,,Midway,REG (Non-Conf),W,101,60,,38,65,.585,11,30,.367,27,35,.771,.669,14,14,1.000,8,37,45,25,9,4,18,7,24,68,.353,3,18,.167,21,50,.420,.375,9,12,.750,5,16,21,4,12,1,11,13,bellarmine,2025,2025-12-27 22:48:12
8,8,2024-11-30,@,Northern Kentucky,REG (Non-Conf),L,70,86,,24,53,.453,12,31,.387,12,22,.545,.566,10,10,1.000,3,21,24,16,3,1,13,20,32,62,.516,7,25,.280,25,37,.676,.573,15,21,.714,9,25,34,16,8,3,5,12,bellarmine,2025,2025-12-27 22:48:12
9,9,2024-12-04,@,Western Carolina,REG (Non-Conf),L,74,86,,26,56,.464,12,29,.414,14,27,.519,.571,10,15,.667,4,20,24,16,6,0,12,16,31,64,.484,13,32,.406,18,32,.563,.586,11,18,.611,11,26,37,14,6,0,11,16,bellarmine,2025,2025-12-27 22:48:12
10,10,2024-12-07,,Brescia,REG (Non-Conf),W,94,66,,35,66,.530,22,49,.449,13,17,.765,.697,2,3,.667,11,31,42,26,6,0,9,7,26,62,.419,11,26,.423,15,36,.417,.508,3,9,.333,6,21,27,15,7,0,6,9,bellarmine,2025,2025-12-27 22:48:12
11,11,2024-12-14,,Ball State,REG (Non-Conf),L,82,86,,29,61,.475,11,29,.379,18,32,.563,.566,13,15,.867,11,15,26,21,6,1,10,20,26,48,.542,10,19,.526,16,29,.552,.646,24,32,.750,6,19,25,13,8,0,8,16,bellarmine,2025,2025-12-27 22:48:12
