Rk,Gtm,Date,,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,school_slug,season,scraped_at
1,1,2024-11-04,@,George Washington,REG (Non-Conf),L,59,76,,21,56,.375,6,17,.353,15,39,.385,.429,11,13,.846,8,16,24,11,3,4,12,23,24,53,.453,4,23,.174,20,30,.667,.491,24,34,.706,11,23,34,14,9,1,12,17,mercyhurst,2025,2025-12-27 22:54:38
2,2,2024-11-06,@,Morgan State,REG (Non-Conf),W,78,73,,26,59,.441,5,17,.294,21,42,.500,.483,21,25,.840,14,15,29,13,10,2,14,17,26,53,.491,3,8,.375,23,45,.511,.519,18,24,.750,11,18,29,9,6,3,18,26,mercyhurst,2025,2025-12-27 22:54:38
3,3,2024-11-09,,Houghton,REG (Non-Conf),W,88,62,,31,58,.534,8,17,.471,23,41,.561,.603,18,21,.857,8,18,26,22,14,3,12,16,22,48,.458,5,17,.294,17,31,.548,.510,13,15,.867,8,16,24,11,6,1,22,15,mercyhurst,2025,2025-12-27 22:54:38
4,4,2024-11-13,,Canisius,REG (Non-Conf),W,62,52,,22,56,.393,6,23,.261,16,33,.485,.446,12,18,.667,8,20,28,15,7,2,6,11,17,45,.378,8,23,.348,9,22,.409,.467,10,12,.833,8,24,32,7,5,5,14,17,mercyhurst,2025,2025-12-27 22:54:38
5,5,2024-11-16,@,Columbia,REG (Non-Conf),L,63,77,,21,51,.412,8,20,.400,13,31,.419,.490,13,18,.722,6,15,21,16,5,3,10,15,30,56,.536,9,20,.450,21,36,.583,.616,8,13,.615,10,25,35,21,4,1,12,13,mercyhurst,2025,2025-12-27 22:54:38
6,6,2024-11-19,,Mt. Aloysius,REG (Non-Conf),W,98,45,,38,78,.487,5,29,.172,33,49,.673,.519,17,25,.680,20,29,49,18,14,4,8,20,12,45,.267,3,17,.176,9,28,.321,.300,18,25,.720,3,21,24,4,5,0,24,23,mercyhurst,2025,2025-12-27 22:54:38
7,7,2024-11-24,@,Air Force,REG (Non-Conf),L,48,82,,17,51,.333,4,21,.190,13,30,.433,.373,10,14,.714,5,13,18,9,7,5,6,13,31,48,.646,15,21,.714,16,27,.593,.802,5,9,.556,4,29,33,26,4,2,11,15,mercyhurst,2025,2025-12-27 22:54:38
8,8,2024-11-27,@,California,REG (Non-Conf),L,55,81,,20,53,.377,3,13,.231,17,40,.425,.406,12,16,.750,4,17,21,7,5,1,10,16,29,53,.547,11,21,.524,18,32,.563,.651,12,18,.667,6,28,34,14,4,6,13,14,mercyhurst,2025,2025-12-27 22:54:38
9,9,2024-11-30,@,Sacramento State,REG (Non-Conf),W,66,60,,22,47,.468,10,25,.400,12,22,.545,.574,12,16,.750,6,21,27,16,9,0,13,20,19,47,.404,8,22,.364,11,25,.440,.489,14,20,.700,10,22,32,12,7,1,15,20,mercyhurst,2025,2025-12-27 22:54:38
10,10,2024-12-01,@,San Francisco,REG (Non-Conf),L,59,87,,25,53,.472,6,13,.462,19,40,.475,.528,3,3,1.000,2,18,20,10,8,0,10,18,32,55,.582,6,18,.333,26,37,.703,.636,17,31,.548,13,24,37,19,9,5,10,12,mercyhurst,2025,2025-12-27 22:54:38
11,11,2024-12-07,,Lafayette,REG (Non-Conf),L,73,77,,24,51,.471,12,23,.522,12,28,.429,.588,13,17,.765,6,16,22,16,8,2,8,16,26,51,.510,11,22,.500,15,29,.517,.618,14,21,.667,11,18,29,15,3,7,14,15,mercyhurst,2025,2025-12-27 22:54:38
12,12,2024-12-10,,Penn St. Altoona,REG (Non-Conf),W,77,51,,31,60,.517,5,15,.333,26,45,.578,.558,10,13,.769,5,22,27,12,14,7,14,16,15,49,.306,6,16,.375,9,33,.273,.367,15,18,.833,10,20,30,7,6,7,26,13,mercyhurst,2025,2025-12-27 22:54:38
13,13,2024-12-15,@,Kent State,REG (Non-Conf),L,57,82,,23,52,.442,6,18,.333,17,34,.500,.500,5,6,.833,3,15,18,12,4,3,13,19,28,59,.475,7,20,.350,21,39,.538,.534,19,24,.792,11,21,32,15,7,5,7,10,mercyhurst,2025,2025-12-27 22:54:38
14,14,2024-12-18,@,Binghamton,REG (Non-Conf),L,60,62,,21,52,.404,3,16,.188,18,36,.500,.433,15,18,.833,6,24,30,6,7,5,11,15,22,48,.458,5,16,.313,17,32,.531,.510,13,20,.650,2,25,27,15,8,3,10,15,mercyhurst,2025,2025-12-27 22:54:38
15,15,2024-12-22,@,West Virginia,REG (Non-Conf),L,46,67,,15,53,.283,5,17,.294,10,36,.278,.330,11,14,.786,10,21,31,8,4,1,14,15,25,52,.481,5,19,.263,20,33,.606,.529,12,18,.667,7,27,34,14,7,3,11,15,mercyhurst,2025,2025-12-27 22:54:38
16,16,2025-01-03,,Stonehill,REG (Conf),W,76,69,,23,52,.442,6,16,.375,17,36,.472,.500,24,29,.828,4,21,25,9,5,4,8,21,22,52,.423,6,23,.261,16,29,.552,.481,19,29,.655,8,23,31,10,6,0,10,21,mercyhurst,2025,2025-12-27 22:54:38
17,17,2025-01-05,,Central Connecticut State,REG (Conf),L,50,62,,19,55,.345,6,23,.261,13,32,.406,.400,6,10,.600,7,17,24,12,7,2,7,14,26,58,.448,3,17,.176,23,41,.561,.474,7,10,.700,8,28,36,12,3,5,8,10,mercyhurst,2025,2025-12-27 22:54:38
18,18,2025-01-10,@,Saint Francis (PA),REG (Conf),L,59,73,,21,58,.362,8,25,.320,13,33,.394,.431,9,12,.750,10,16,26,10,10,0,6,15,28,50,.560,8,21,.381,20,29,.690,.640,9,13,.692,7,25,32,16,6,2,12,14,mercyhurst,2025,2025-12-27 22:54:38
19,19,2025-01-12,@,Le Moyne,REG (Conf),L,63,79,,23,56,.411,7,19,.368,16,37,.432,.473,10,14,.714,6,14,20,16,6,1,7,21,26,49,.531,6,19,.316,20,30,.667,.592,21,30,.700,11,28,39,14,4,2,9,21,mercyhurst,2025,2025-12-27 22:54:38
20,20,2025-01-18,@,Wagner,REG (Conf),W,69,65,,20,41,.488,6,15,.400,14,26,.538,.561,23,27,.852,4,15,19,9,8,1,11,24,18,43,.419,4,15,.267,14,28,.500,.465,25,29,.862,8,19,27,13,6,0,15,25,mercyhurst,2025,2025-12-27 22:54:38
21,21,2025-01-20,@,LIU,REG (Conf),L,63,72,OT,20,56,.357,8,19,.421,12,37,.324,.429,15,17,.882,5,18,23,12,9,1,13,14,25,51,.490,8,18,.444,17,33,.515,.569,14,18,.778,8,25,33,16,10,6,20,17,mercyhurst,2025,2025-12-27 22:54:38
22,22,2025-01-24,,Wagner,REG (Conf),W,71,66,,24,48,.500,9,25,.360,15,23,.652,.594,14,16,.875,3,17,20,18,1,2,6,11,24,55,.436,10,24,.417,14,31,.452,.527,8,14,.571,14,17,31,12,3,0,11,15,mercyhurst,2025,2025-12-27 22:54:38
23,23,2025-01-26,,LIU,REG (Conf),W,85,80,2OT,26,67,.388,9,20,.450,17,47,.362,.455,24,26,.923,9,17,26,22,8,1,13,17,27,59,.458,7,26,.269,20,33,.606,.517,19,27,.704,9,26,35,14,7,7,21,24,mercyhurst,2025,2025-12-27 22:54:38
