Rk,Gtm,Date,,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,school_slug,season,scraped_at
1,1,2024-11-04,@,Mississippi State,REG (Non-Conf),L,60,95,,21,54,.389,4,19,.211,17,35,.486,.426,14,20,.700,6,24,30,11,3,4,19,13,36,65,.554,14,30,.467,22,35,.629,.662,9,16,.563,7,22,29,19,17,4,8,17,west-georgia,2025,2025-12-27 23:02:08
2,2,2024-11-06,@,Georgia Tech,REG (Non-Conf),L,62,85,,23,64,.359,6,15,.400,17,49,.347,.406,10,18,.556,6,17,23,10,6,6,7,15,33,68,.485,7,27,.259,26,41,.634,.537,12,17,.706,10,32,42,20,5,6,10,16,west-georgia,2025,2025-12-27 23:02:08
3,3,2024-11-12,@,Tennessee Tech,REG (Non-Conf),L,73,76,,29,69,.420,6,18,.333,23,51,.451,.464,9,12,.750,13,24,37,15,11,1,16,14,29,55,.527,10,30,.333,19,25,.760,.618,8,16,.500,4,25,29,17,12,7,15,13,west-georgia,2025,2025-12-27 23:02:08
4,4,2024-11-15,@,South Florida,REG (Non-Conf),L,55,74,,20,57,.351,5,19,.263,15,38,.395,.395,10,19,.526,9,21,30,13,4,5,10,13,28,55,.509,5,21,.238,23,34,.676,.555,13,18,.722,5,31,36,17,7,6,9,14,west-georgia,2025,2025-12-27 23:02:08
5,5,2024-11-19,,Troy,REG (Non-Conf),L,65,84,,28,61,.459,4,13,.308,24,48,.500,.492,5,6,.833,12,14,26,10,4,1,14,17,25,49,.510,10,25,.400,15,24,.625,.612,24,27,.889,10,14,24,16,11,1,10,12,west-georgia,2025,2025-12-27 23:02:08
6,6,2024-11-23,@,Georgia Southern,REG (Non-Conf),L,54,64,,22,59,.373,6,21,.286,16,38,.421,.424,4,11,.364,7,24,31,14,12,3,16,11,24,62,.387,12,34,.353,12,28,.429,.484,4,8,.500,11,26,37,13,8,3,20,14,west-georgia,2025,2025-12-27 23:02:08
7,7,2024-11-26,N,Utah Valley,REG (Non-Conf),L,74,77,,28,58,.483,7,19,.368,21,39,.538,.543,11,15,.733,4,20,24,16,7,7,10,25,26,59,.441,2,11,.182,24,48,.500,.458,23,35,.657,13,24,37,13,7,3,9,14,west-georgia,2025,2025-12-27 23:02:08
8,8,2024-11-27,N,North Dakota State,REG (Non-Conf),L,61,73,,24,65,.369,2,18,.111,22,47,.468,.385,11,16,.688,9,19,28,6,6,2,5,13,22,50,.440,15,37,.405,7,13,.538,.590,14,16,.875,7,34,41,15,2,2,13,17,west-georgia,2025,2025-12-27 23:02:08
9,9,2024-11-29,@,Samford,REG (Non-Conf),L,65,86,,25,61,.410,4,17,.235,21,44,.477,.443,11,16,.688,14,20,34,12,10,7,15,18,30,61,.492,12,26,.462,18,35,.514,.590,14,17,.824,9,23,32,18,10,6,12,14,west-georgia,2025,2025-12-27 23:02:08
10,10,2024-12-04,@,Mercer,REG (Non-Conf),L,72,86,,25,59,.424,8,24,.333,17,35,.486,.492,14,15,.933,10,18,28,11,4,1,11,16,32,61,.525,10,31,.323,22,30,.733,.607,12,18,.667,13,24,37,20,5,4,7,17,west-georgia,2025,2025-12-27 23:02:08
11,11,2024-12-07,,Tennessee Tech,REG (Non-Conf),W,78,73,,29,58,.500,7,20,.350,22,38,.579,.560,13,16,.813,5,17,22,18,8,2,6,12,25,52,.481,8,24,.333,17,28,.607,.558,15,20,.750,7,24,31,17,5,0,15,13,west-georgia,2025,2025-12-27 23:02:08
12,12,2024-12-17,@,Charlotte,REG (Non-Conf),L,70,75,,30,58,.517,4,11,.364,26,47,.553,.552,6,11,.545,9,22,31,12,7,3,12,24,20,54,.370,8,21,.381,12,33,.364,.444,27,31,.871,10,18,28,9,8,3,9,14,west-georgia,2025,2025-12-27 23:02:08
13,13,2024-12-21,,Brewton-Parker,REG (Non-Conf),W,107,61,,43,69,.623,9,21,.429,34,48,.708,.688,12,15,.800,9,31,40,29,10,3,14,18,23,61,.377,2,20,.100,21,41,.512,.393,13,24,.542,10,16,26,15,7,1,19,14,west-georgia,2025,2025-12-27 23:02:08
14,14,2025-01-02,,Florida Gulf Coast,REG (Conf),L,68,79,,26,61,.426,8,22,.364,18,39,.462,.492,8,12,.667,6,19,25,12,5,2,8,14,28,57,.491,6,22,.273,22,35,.629,.544,17,25,.680,9,25,34,17,6,2,10,10,west-georgia,2025,2025-12-27 23:02:08
15,15,2025-01-04,,Stetson,REG (Conf),L,62,78,,23,66,.348,5,15,.333,18,51,.353,.386,11,20,.550,12,20,32,14,7,0,6,20,25,48,.521,5,17,.294,20,31,.645,.573,23,26,.885,3,33,36,11,5,1,12,16,west-georgia,2025,2025-12-27 23:02:08
16,16,2025-01-09,@,Austin Peay,REG (Conf),W,72,68,,29,55,.527,5,13,.385,24,42,.571,.573,9,19,.474,4,33,37,17,7,3,11,17,22,57,.386,9,25,.360,13,32,.406,.465,15,25,.600,8,24,32,10,8,4,12,17,west-georgia,2025,2025-12-27 23:02:08
17,17,2025-01-11,@,Lipscomb,REG (Conf),L,67,86,,26,65,.400,4,19,.211,22,46,.478,.431,11,18,.611,10,20,30,8,6,0,6,23,26,52,.500,13,29,.448,13,23,.565,.625,21,31,.677,9,32,41,15,3,5,10,16,west-georgia,2025,2025-12-27 23:02:08
18,18,2025-01-16,@,Florida Gulf Coast,REG (Conf),L,60,82,,18,52,.346,8,24,.333,10,28,.357,.423,16,27,.593,3,16,19,8,12,0,15,13,32,55,.582,7,20,.350,25,35,.714,.645,11,19,.579,8,32,40,18,8,2,17,18,west-georgia,2025,2025-12-27 23:02:08
19,19,2025-01-18,@,Stetson,REG (Conf),L,78,82,,24,54,.444,6,20,.300,18,34,.529,.500,24,28,.857,8,20,28,15,6,2,9,24,24,43,.558,11,18,.611,13,25,.520,.686,23,34,.676,2,20,22,14,6,1,11,22,west-georgia,2025,2025-12-27 23:02:08
20,20,2025-01-23,,Jacksonville,REG (Conf),L,62,79,,26,56,.464,3,18,.167,23,38,.605,.491,7,11,.636,6,22,28,12,8,7,14,13,27,61,.443,10,24,.417,17,37,.459,.525,15,22,.682,10,22,32,23,8,2,9,12,west-georgia,2025,2025-12-27 23:02:08
21,21,2025-01-25,,North Florida,REG (Conf),W,92,72,,32,59,.542,6,17,.353,26,42,.619,.593,22,25,.880,8,27,35,20,10,3,11,15,25,58,.431,10,34,.294,15,24,.625,.517,12,17,.706,5,19,24,10,4,1,15,21,west-georgia,2025,2025-12-27 23:02:08
22,22,2025-01-29,@,Central Arkansas,REG (Conf),L,70,75,,25,63,.397,6,18,.333,19,45,.422,.444,14,20,.700,16,17,33,11,10,2,12,13,28,58,.483,10,23,.435,18,35,.514,.569,9,13,.692,10,22,32,20,9,5,14,20,west-georgia,2025,2025-12-27 23:02:08
23,23,2025-02-01,@,Queens (NC),REG (Conf),L,68,87,,26,61,.426,3,11,.273,23,50,.460,.451,13,16,.813,5,19,24,12,11,3,7,11,34,57,.596,10,23,.435,24,34,.706,.684,9,14,.643,4,27,31,19,5,6,13,15,west-georgia,2025,2025-12-27 23:02:08
24,24,2025-02-05,,Lipscomb,REG (Conf),L,67,76,,28,62,.452,5,21,.238,23,41,.561,.492,6,7,.857,6,23,29,15,6,2,10,10,29,60,.483,11,27,.407,18,33,.545,.575,7,10,.700,6,28,34,15,8,1,10,8,west-georgia,2025,2025-12-27 23:02:08
25,25,2025-02-08,,North Alabama,REG (Conf),L,61,78,,23,61,.377,4,22,.182,19,39,.487,.410,11,19,.579,13,24,37,9,3,7,6,16,28,62,.452,6,20,.300,22,42,.524,.500,16,27,.593,14,30,44,10,6,0,5,17,west-georgia,2025,2025-12-27 23:02:08
26,26,2025-02-13,@,Eastern Kentucky,REG (Conf),L,73,95,,28,58,.483,6,16,.375,22,42,.524,.534,11,16,.688,7,23,30,14,6,1,12,16,33,64,.516,16,34,.471,17,30,.567,.641,13,18,.722,7,23,30,22,7,3,8,13,west-georgia,2025,2025-12-27 23:02:08
27,27,2025-02-15,@,Bellarmine,REG (Conf),W,81,76,,23,49,.469,10,22,.455,13,27,.481,.571,25,31,.806,6,25,31,13,5,3,10,12,30,64,.469,12,30,.400,18,34,.529,.563,4,6,.667,7,19,26,18,5,4,10,20,west-georgia,2025,2025-12-27 23:02:08
28,28,2025-02-18,@,North Alabama,REG (Conf),L,62,80,,27,61,.443,4,18,.222,23,43,.535,.475,4,8,.500,6,23,29,13,2,2,13,18,28,55,.509,2,13,.154,26,42,.619,.527,22,29,.759,5,30,35,11,10,2,5,12,west-georgia,2025,2025-12-27 23:02:08
29,29,2025-02-20,,Central Arkansas,REG (Conf),L,71,82,,25,52,.481,8,18,.444,17,34,.500,.558,13,17,.765,5,19,24,19,9,2,13,16,26,54,.481,12,28,.429,14,26,.538,.593,18,24,.750,7,17,24,17,8,1,11,12,west-georgia,2025,2025-12-27 23:02:08
30,30,2025-02-24,,Queens (NC),REG (Conf),L,57,72,,21,57,.368,1,11,.091,20,46,.435,.377,14,21,.667,8,23,31,14,6,3,8,20,22,57,.386,7,25,.280,15,32,.469,.447,21,24,.875,9,26,35,12,2,6,9,18,west-georgia,2025,2025-12-27 23:02:08
31,31,2025-02-26,,Austin Peay,REG (Conf),W,73,70,,26,64,.406,4,17,.235,22,47,.468,.438,17,23,.739,12,22,34,15,5,5,5,13,25,57,.439,5,19,.263,20,38,.526,.482,15,17,.882,5,28,33,15,2,2,8,19,west-georgia,2025,2025-12-27 23:02:08
